row_index,speakerid,session,activity,time,word,vowel,register,start_sec,duration_sec,duration_ms,mean_pitch,min_pitch,max_pitch,pitch_range,mean_F1,mean_F2,mean_F3,mean_F4,central_F1,central_F2,central_F3,central_F4,feature_status,feature_error,feature_error_detail,formant_ceiling,audio_file,suspicious_reason
3968,c018,4m,meal,825,en,an,IDS,291.06,0.05,50.07,243.91995910651136,242.99942533528932,244.80702829142828,1.807602956138936,603.6659106171991,848.2530356968408,2645.13801189088,3363.46112018517,603.6659106171991,848.2530356968408,2645.13801189088,3363.46112018517,success,,,5040.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0825.wav,mean_F2_lt_1000
3972,c018,4m,meal,825,fonctionne,on,IDS,292.15,0.09,87.78,348.8341613620792,336.753261267283,358.06870918310534,21.315447915822347,403.7879245988606,776.9669175219975,2163.018874763573,3195.540665831621,416.0040045571124,797.4019727143333,2169.69287996227,3121.9585608865127,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0825.wav,mean_F2_lt_1000
3981,c018,4m,meal,825,important,au,IDS,294.17,0.05,51.38,341.7430640854939,338.5647732234659,344.53150699845395,5.966733774988029,614.9963182803172,683.4847968043001,2802.4228820195926,3881.493590996953,614.9963182803172,683.4847968043001,2802.4228820195926,3881.493590996953,success,,,5060.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0825.wav,mean_F2_lt_1000
3983,c018,4m,meal,825,mon,on,IDS,294.55,0.05,50.14,227.83313058388944,227.2788854931615,228.53650251096528,1.2576170178037671,467.0285811058621,838.8971273170231,2037.307722426818,3093.8752617326527,467.0285811058621,838.8971273170231,2037.307722426818,3093.8752617326527,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0825.wav,mean_F2_lt_1000
3990,c018,4m,meal,830,mon,on,IDS,35.73,0.09,94.61,447.96477274134014,407.4572481156228,485.0703723383374,77.61312422271465,452.7356043355612,978.0924851864372,2226.2618557998235,3115.913453125601,453.2947640535868,982.359450249638,2213.85448849919,3181.72940509038,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
3992,c018,4m,meal,830,on,on,IDS,36.48,0.07,69.68,342.3605989010496,331.6680822181063,350.2414117386393,18.57332952053298,622.8479394529154,751.6894893346308,2013.5442549980569,3446.8164124111736,631.7237935668418,770.7873490275772,2064.0334409193874,3500.699468670009,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
3997,c018,4m,meal,830,ou,ou,IDS,39.34,0.08,76.98,446.564017410409,436.12750327414096,454.1300114594025,18.002508185261547,448.8051382956967,957.8816529711426,2249.5750015731564,3375.401274812337,449.5129841299391,964.2290333367192,2240.137850620023,3346.0813093589763,success,,,4720.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4002,c018,4m,meal,830,bon,on,IDS,40.56,0.07,68.52,237.04637768653396,234.88568645335292,239.51649238703015,4.630805933677237,490.626827185317,880.401509087254,2728.5716999365745,3331.990347724908,492.8464214350624,887.3351533357738,2746.388424682832,3646.614324479651,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4014,c018,4m,meal,830,mon,on,IDS,46.9,0.05,46.01,347.253560487989,345.74172480827053,348.98286802347576,3.241143215205227,495.2027405341574,736.1317711875087,1985.8559482563912,3265.854262808572,495.2027405341574,736.1317711875087,1985.8559482563912,3265.854262808572,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4016,c018,4m,meal,830,ou,ou,IDS,47.23,0.05,52.95,343.99052991640656,340.96409758345465,346.895520429654,5.931422846199325,382.6757298081461,700.0241360648542,2264.8848808548187,3204.086593983437,382.6757298081461,700.0241360648542,2264.8848808548187,3204.086593983437,success,,,4720.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4021,c018,4m,meal,830,mon,on,IDS,54.49,0.12,123.08,250.78986870825116,243.8189939123245,254.58771423689697,10.768720324572511,598.369595365281,948.479863808844,1603.1068006392843,2923.701927336739,619.6474843515033,961.8018733200388,1594.9948313680568,2866.1476979781646,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4027,c018,4m,meal,830,mon,on,IDS,55.58,0.05,49.13,374.5972072237684,371.1133837445216,377.8259008869928,6.712517142471199,538.1413601739065,790.3838550107401,1830.8262267929565,3002.5221054249555,538.1413601739065,790.3838550107401,1830.8262267929565,3002.5221054249555,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4032,c018,4m,meal,830,ou,ou,IDS,57.51,0.05,49.47,370.0054632440845,368.8319591929469,371.4494921381522,2.617532945205312,376.3896913793237,776.551545263638,2384.466163705986,3229.740663258244,376.3896913793237,776.551545263638,2384.466163705986,3229.740663258244,success,,,4720.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4038,c018,4m,meal,830,rototo_1,o,IDS,62.95,0.05,48.82,197.77074145669067,196.69956262138192,198.43821001081068,1.7386473894287633,524.8652355470527,988.8533340092464,2145.357311306739,2849.86034790742,524.8652355470527,988.8533340092464,2145.357311306739,2849.86034790742,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4040,c018,4m,meal,830,rototo_3,o,IDS,63.49,0.15,149.82,288.9420257191895,268.62597268647943,307.4453610924992,38.81938840601976,559.7198599449518,888.5040627114483,2305.4957908166343,3356.754914820838,565.9166048297877,979.7663197128384,2504.20303489862,3447.8287318594794,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4050,c018,4m,meal,830,concentrer,on,IDS,71.07,0.06,56.12,282.01803967169366,270.5392902329727,288.0556264005788,17.516336167606084,516.9888302903844,840.5844880600956,2393.279839374557,3528.23785606616,516.9061370020274,841.2045232120958,2392.0362171407733,3589.37679687173,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4051,c018,4m,meal,830,concentrer,an,IDS,71.25,0.06,64.9,260.0812979864859,257.0525115977105,264.0419211708872,6.989409573176658,564.4299581831963,971.8193740870478,2743.318877092778,3862.064676167736,559.8592535502014,990.6432609819624,2673.44382207316,3848.4277897050074,success,,,5040.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4053,c018,4m,meal,830,le,oe,IDS,71.78,0.06,61.73,224.23776263773533,222.19098524144184,225.67744382289663,3.486458581454798,522.2475944120321,869.9837833264577,2551.79781334705,3567.6042813409317,521.1988321906599,869.8654720216821,2528.9553352454545,3571.1523722643738,success,,,5100.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4054,c018,4m,meal,830,repas,oe,IDS,71.89,0.05,50.94,203.9413052898665,202.50216058212644,205.3872813916127,2.885120809486267,565.1508439537606,914.297396959056,2819.224247434292,3756.418127353567,565.1508439537606,914.297396959056,2819.224247434292,3756.418127353567,success,,,5100.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4065,c018,4m,meal,830,conclut,on,IDS,74.88,0.08,76.83,235.13524313699105,231.17695059816407,242.09366362259613,10.916713024432084,485.7519508560049,740.5905336648874,2241.984193220781,3134.2238632922104,485.493815462672,737.9987716138528,2284.1806579710387,3177.657354481497,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4071,c018,4m,meal,830,rototo_1,o,IDS,82.28,0.07,66.89,382.94899179731846,380.5858924338722,384.8573543206677,4.271461886795464,452.0857269587896,759.4271079111404,2367.348941239043,3268.3995208518663,437.89950298614633,775.4062925604233,2494.8882593536464,3301.6092306830283,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4072,c018,4m,meal,830,rototo_2,o,IDS,82.46,0.06,62.48,428.8955252233105,428.2451075449752,430.5665509236831,2.3214433787078974,438.534244262744,958.7069118717044,2206.9458272114744,3132.4718873486463,438.0565004112402,951.748698673692,2206.992628285946,3129.315931735649,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4081,c018,4m,meal,830,rototo_1,o,IDS,86.49,0.05,49.46,378.4858067569153,375.84718958528185,380.645552992865,4.798363407583167,426.0577463381531,770.4455355470019,3008.872867631633,3015.042146456278,426.0577463381531,770.4455355470019,3008.872867631633,3015.042146456278,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4109,c018,4m,meal,830,rot,o,IDS,93.44,0.08,79.0,153.16293396018887,152.27436548017178,153.78322021363886,1.508854733467075,517.5758565102028,895.1701536659376,2768.1034559499235,3425.8864675066025,518.7556723175447,898.161757944516,2950.880367147459,4051.767200106149,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4118,c018,4m,meal,830,rot,o,IDS,97.43,0.06,64.32,312.0134429317126,308.752647509181,315.3911141256306,6.638466616449648,466.3914338376209,858.0378836393666,2400.4501534738088,3064.9702561695226,464.27132697041617,853.9821428040375,2240.341143331531,2992.923183810086,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4128,c018,4m,meal,830,promener,o,IDS,104.86,0.05,47.04,320.27685610674314,319.4202240744232,320.8878368612236,1.46761278680043,380.4588349689521,988.1293803420064,2349.22457586487,3293.9360733770577,380.4588349689521,988.1293803420064,2349.22457586487,3293.9360733770577,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4140,c018,4m,meal,830,comme,au,IDS,118.03,0.06,62.43,479.5363668361933,466.2507022632996,492.0699210550736,25.819218791774063,676.4561140118157,948.5445496030912,1733.2320440500298,3284.178663368613,552.1987688670455,908.222976771488,1250.1880716013302,2918.344369998009,success,,,5060.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
4157,c018,4m,meal,830,oiseau,o,IDS,132.44,0.08,77.31,264.22755296133573,260.2573165987983,265.86214876377824,5.604832164979939,522.9321708721934,935.5008211400934,2310.1419893345105,3418.393857998422,522.2470397097446,903.935734924244,2379.3136931474587,3529.7056067247013,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0830.wav,mean_F2_lt_1000
